Index,Version ID,Version Name,Date
1,12317843,4.0.0,2011-12-07
2,12319145,4.1.0,2012-06-13
3,12321757,4.1.1,2013-01-16
4,12320244,4.2.0,2013-01-19
5,12323840,4.2.1,2013-03-27
6,12324601,4.2.2,2013-10-10
7,12323267,4.3.0,2014-02-02
8,12325569,4.2.3,2014-06-27
9,12328755,4.3.1,2015-05-24
10,12333529,4.3.2,2015-11-17
11,12325566,4.4.0,2016-05-16
12,12335340,4.5.0,2017-08-10
13,12341342,4.5.1,2017-09-10
14,12335749,4.6.0,2017-11-10
