Version,File Name,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,NR,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Buggy
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,39.0,13.0,5.571428571428572,1.0,10.0,0.14285714285714324,7.0,106.0,44.0,15.142857142857144,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,207.0,93.0,23.0,140.0,72.0,15.555555555555554,9.0,133.0,44.0,14.777777777777777,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,19.0,19.0,19.0,18.0,18.0,18.0,1.0,11.0,11.0,11.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerManagerTestCase.java,32.0,29.0,16.0,11.0,22.0,5.5,2.0,65.0,44.0,32.5,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerChecker.java,285.0,274.0,71.25,273.0,274.0,68.25,4.0,28.0,18.0,7.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/BookieLedgerIndexer.java,142.0,139.0,47.33333333333333,136.0,139.0,45.33333333333333,3.0,31.0,19.0,10.333333333333332,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ReadOnlyBookieTest.java,187.0,166.0,62.33333333333333,187.0,166.0,62.33333333333333,3.0,18.0,13.0,6.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/TestLedgerDirsManager.java,82.0,80.0,41.0,80.0,80.0,40.0,2.0,79.0,77.0,39.5,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/BookieAutoRecoveryTest.java,418.0,418.0,418.0,418.0,418.0,418.0,1.0,2.0,2.0,2.0,NO
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/ClientUtil.java,6.0,6.0,6.0,6.0,6.0,6.0,1.0,4.0,4.0,4.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManagerFactory.java,97.0,72.0,24.249999999999996,92.0,72.0,22.999999999999996,4.0,90.0,44.0,22.5,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManagerFactory.java,98.0,72.0,24.5,93.0,72.0,23.25,4.0,90.0,44.0,22.5,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/AuditorElector.java,414.0,269.0,69.0,325.0,269.0,54.16666666666667,6.0,47.0,19.0,7.833333333333333,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyEntryLogger.java,1.0,1.0,1.0,0.0,0.0,0.0,1.0,13.0,13.0,13.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerHandleAdapter.java,32.0,32.0,32.0,32.0,32.0,32.0,1.0,4.0,4.0,4.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestReadTimeout.java,2.0,1.0,1.0,-1.0,0.0,-0.5,2.0,95.0,77.0,47.5,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/TestAutoRecoveryAlongWithBookieServers.java,99.0,99.0,99.0,99.0,99.0,99.0,1.0,8.0,8.0,8.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreFactory.java,33.0,33.0,33.0,33.0,33.0,33.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/EntryFormatter.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerRecoveryTest.java,145.0,139.0,72.5,139.0,139.0,69.5,2.0,81.0,77.0,40.5,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieWriteLedgerTest.java,232.0,230.0,116.0,230.0,230.0,115.0,2.0,78.0,77.0,39.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestLedgerChecker.java,465.0,371.0,116.25,462.0,371.0,115.5,4.0,100.0,77.0,25.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestSpeculativeRead.java,683.0,333.0,136.60000000000002,342.0,333.0,68.4,5.0,96.0,77.0,19.2,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ZooKeeperUtil.java,32.0,20.0,6.4,-16.0,6.0,-3.2,5.0,61.0,28.0,12.2,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AutoRecoveryMainTest.java,69.0,69.0,69.0,69.0,69.0,69.0,1.0,3.0,3.0,3.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java,33.0,33.0,33.0,33.0,33.0,33.0,1.0,17.0,17.0,17.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorBookieTest.java,350.0,277.0,58.33333333333334,309.0,277.0,51.50000000000001,6.0,110.0,77.0,18.333333333333336,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDirsManager.java,270.0,240.0,90.0,268.0,240.0,89.33333333333333,3.0,26.0,13.0,8.666666666666666,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/ReplicationException.java,81.0,63.0,27.0,74.0,63.0,24.666666666666668,3.0,10.0,8.0,3.333333333333333,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/SlowBookieTest.java,211.0,208.0,105.5,208.0,208.0,104.0,2.0,95.0,77.0,47.5,NO
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyFileInfo.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpgradeTest.java,25.0,17.0,8.333333333333334,19.0,17.0,6.333333333333333,3.0,106.0,77.0,35.33333333333333,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestPerChannelBookieClient.java,114.0,81.0,57.0,114.0,81.0,57.0,2.0,2.0,1.0,1.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java,64.0,37.0,21.333333333333332,34.0,30.0,11.333333333333332,3.0,122.0,77.0,40.666666666666664,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/BookieLedgerIndexTest.java,281.0,233.0,70.25,230.0,233.0,57.5,4.0,88.0,77.0,22.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/metastore/MetastoreTableAsyncToSyncConverter.java,131.0,131.0,131.0,131.0,131.0,131.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/PortManager.java,55.0,55.0,55.0,55.0,55.0,55.0,1.0,28.0,28.0,28.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollector.java,51.0,51.0,51.0,51.0,51.0,51.0,1.0,21.0,21.0,21.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/metastore/TestMetaStore.java,662.0,649.0,165.5,648.0,649.0,162.0,4.0,103.0,77.0,25.75,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieAccessor.java,35.0,35.0,35.0,35.0,35.0,35.0,1.0,11.0,11.0,11.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/IndexCorruptionTest.java,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/metastore/MetastoreScannableTableAsyncToSyncConverter.java,59.0,59.0,59.0,59.0,59.0,59.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestBKStats.java,47.0,45.0,15.666666666666666,43.0,45.0,14.333333333333332,3.0,88.0,77.0,29.333333333333332,YES
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/ReplicationTestUtil.java,59.0,59.0,59.0,59.0,59.0,59.0,1.0,8.0,8.0,8.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerCreateDeleteTest.java,1.0,1.0,1.0,0.0,0.0,0.0,1.0,77.0,77.0,77.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/util/TestDiskChecker.java,97.0,96.0,48.5,96.0,96.0,48.0,2.0,90.0,77.0,45.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ReflectionUtils.java,152.0,129.0,76.0,152.0,129.0,76.0,2.0,65.0,44.0,32.5,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SnapshotMap.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringEntryFormatter.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Tool.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/ReplicationEnableCb.java,56.0,56.0,56.0,56.0,56.0,56.0,1.0,6.0,6.0,6.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/InMemoryMetaStore.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/InMemoryMetastoreCursor.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/InMemoryMetastoreTable.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MSException.java,214.0,214.0,214.0,214.0,214.0,214.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetaStore.java,79.0,79.0,79.0,79.0,79.0,79.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreCallback.java,25.0,25.0,25.0,25.0,25.0,25.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreCursor.java,84.0,84.0,84.0,84.0,84.0,84.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreException.java,34.0,34.0,34.0,34.0,34.0,34.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreScannableTable.java,104.0,104.0,104.0,104.0,104.0,104.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreTable.java,172.0,172.0,172.0,172.0,172.0,172.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreTableItem.java,70.0,70.0,70.0,70.0,70.0,70.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreUtils.java,140.0,140.0,140.0,140.0,140.0,140.0,1.0,3.0,3.0,3.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/Value.java,154.0,154.0,154.0,154.0,154.0,154.0,1.0,15.0,15.0,15.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,13.0,13.0,13.0,12.0,12.0,12.0,1.0,10.0,10.0,10.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/versioning/Version.java,31.0,31.0,31.0,30.0,30.0,30.0,1.0,10.0,10.0,10.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/versioning/Versioned.java,45.0,45.0,45.0,45.0,45.0,45.0,1.0,44.0,44.0,44.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/zookeeper/ZooKeeperWatcherBase.java,94.0,94.0,94.0,94.0,94.0,94.0,1.0,0.0,0.0,0.0,YES
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestZkVersion.java,69.0,59.0,23.0,65.0,59.0,21.666666666666664,3.0,131.0,77.0,43.666666666666664,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,4114.0,1493.0,587.7142857142857,4088.0,1493.0,584.0,7.0,64.0,18.0,9.142857142857142,YES
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/MultiLedgerManagerMultiDigestTestCase.java,64.0,63.0,32.0,64.0,63.0,32.0,2.0,52.0,44.0,26.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/MultiLedgerManagerTestCase.java,56.0,55.0,28.0,56.0,55.0,28.0,2.0,52.0,44.0,26.0,NO
2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/TestBackwardCompat.java,655.0,506.0,131.0,617.0,506.0,123.4,5.0,132.0,77.0,26.4,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanInfo.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
